ID,Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),DOI,CIF
1pw,Li0.66La1.12Ti1.88Al0.12O5.88F0.12,99,3.8722,3.8722,7.73,90,90,90,0.000106,10.1007/s11581-006-0011-9,No Match
bw3,Li0.66La1.12Ti1.86Al0.14O5.86F0.14,99,3.8705,3.8705,7.7476,90,90,90,0.000645,10.1007/s11581-006-0011-9,No Match
my5,Li0.66La1.12Ti1.84Al0.16O5.84F0.16,99,3.8695,3.8695,7.7437,90,90,90,0.000494,10.1007/s11581-006-0011-9,No Match
0lo,Li0.54La1.14Ti2.0O6.0,123,3.873,3.873,7.75,90,90,90,0.00034,10.1021/cm001207u,No Match
hta,La1.13Li0.61Ti2.0O6.0,123,3.8727,3.8727,7.751,90,90,90,0.000957,10.1016/s0167-2738(00)00761-x,Match
s3h,La1.0Li1.0Ti2.0O6.0,123,3.8688,3.86885,7.7462,90,90,90,0.000925,10.1016/s0167-2738(00)00761-x,Match
86o,La1.22Li0.36Ti2.0O6.0,123,3.8695,3.8695,7.778,90,90,90,0.000412,10.1016/s0167-2738(98)00070-8,No Match
2lu,La1.1Li0.72Ti2.0O6.0,123,3.868,3.868,7.751,90,90,90,0.000688,10.1016/s0167-2738(98)00070-8,No Match
bd5,La1.08Li0.78Ti2.0O6.0,123,3.867,3.867,7.748,90,90,90,0.000651,10.1016/s0167-2738(98)00070-8,No Match
ukw,La1.04Li0.9Ti2.0O6.0,123,3.8673,3.8673,7.739,90,90,90,0.000501,10.1016/s0167-2738(98)00070-8,No Match
5h8,La1.16Li0.54Ti2.0O6.0,123,3.87,3.87,7.773,90,90,90,0.000599,10.1016/s0167-2738(98)00070-8,No Match
vwy,La1.12Li0.66Ti2.0O6.0,123,3.8675,3.8675,7.758,90,90,90,0.000668,10.1016/s0167-2738(98)00070-8,Close Match
2ha,La1.12Li0.66Ti2.0O6.0,123,3.89816,3.89816,7.8519,90,90,90,0.000165,10.1016/j.jallcom.2013.04.195,No Match
il5,Nd0.5Li0.5Ta2.0O6.0,123,3.872,3.872,7.73,90,90,90,1.31e-08,10.1016/s0167-2738(98)00414-7,No Match
r1m,Sm0.5Li0.5Ta2.0O6.0,123,3.859,3.859,7.71,90,90,90,4.32e-10,10.1016/s0167-2738(98)00414-7,No Match
nua,Li2.0La2.0Ti2.0O8.0,129,3.77,3.77,12.076,90,90,90,1e-15,10.4028/www.scientific.net/msf.321-324.965,Match
3rx,Li2.0Nd2.0Ti2.0O8.0,129,3.7465,3.7465,11.895,90,90,90,1e-15,10.4028/www.scientific.net/msf.321-324.965,Match
7e5,La2.6Li0.2Mg2.0W2.0O12.0,129,5.533,5.533,7.903,90,90,90,1.8e-07,10.1016/j.ssi.2004.05.010,Match
sib,La2.52Li0.44Mg2.0W2.0O12.0,129,5.534,5.534,7.903,90,90,90,6.8e-06,10.1016/j.ssi.2004.05.010,Match
r99,La2.48Li0.56Mg2.0W2.0O12.0,129,5.533,5.533,7.903,90,90,90,1.2e-05,10.1016/j.ssi.2004.05.010,Match
lol,Li8.0P2.0S8.0I2.0,129,8.48284,8.48284,5.93013,90,90,90,0.00012,10.1021/acs.chemmater.7b00013,Match
d7f,Li12.0Bi4.0O16.0,136,8.75298,8.75298,4.22469,90,90,90,4.1e-10,10.1016/j.ssi.2015.10.016,Close Match
52b,Li20.1Ge2.1P3.9S24.0,137,8.6944,8.6944,12.6003,90,90,90,0.0122,10.1039/c4ta05231e,No Match
8po,Li20.4Ge2.4P3.6S24.0,137,8.7043,8.7043,12.616,90,90,90,0.0132,10.1039/c4ta05231e,No Match
ya8,Li21.0Ge3.0P3.0S24.0,137,8.7025,8.7025,12.6251,90,90,90,0.011,10.1039/c4ta05231e,No Match
j8q,Li20.0Ge2.0P4.0S24.0,137,8.719,8.719,12.639,90,90,90,0.0121,10.1039/c4ta05231e|10.1021/acs.chemmater.7b00886,Close Match
824,Li20.7Ge2.7P3.3S24.0,137,8.71302,8.71302,12.6397,90,90,90,0.0144,10.1039/c4ta05231e,Match
mqo,Li20.7Si2.7P3.3S24.0,137,8.66958,8.66958,12.5361,90,90,90,0.00673,10.1039/c4fd00143e,No Match
izs,Li20.85Si2.85P3.15S24.0,137,8.672,8.672,12.536,90,90,90,0.00527,10.1039/c4fd00143e,No Match
8nc,Li20.55Si2.55P3.45S24.0,137,8.653,8.653,12.51,90,90,90,0.00565,10.1039/c4fd00143e,No Match
3sx,Li20.4Si2.4P3.6S24.0,137,8.644,8.644,12.504,90,90,90,0.00421,10.1039/c4fd00143e,No Match
xga,Li20.01Sn1.98P4.02S24.0,137,8.743,8.743,12.782,90,90,90,0.00373,10.1039/c4fd00143e,No Match
xn9,Li19.8Sn1.8P4.2S24.0,137,8.731,8.731,12.768,90,90,90,0.00365,10.1039/c4fd00143e,No Match
sg4,Li19.71Sn1.68P4.32S24.0,137,8.721,8.721,12.725,90,90,90,0.00436,10.1039/c4fd00143e,No Match
ns3,Li19.62Sn1.62P4.38S24.0,137,8.7405,8.7405,12.715,90,90,90,0.00496,10.1039/c4fd00143e,No Match
g8j,Li19.56Sn1.56P4.44S24.0,137,8.737,8.737,12.713,90,90,90,0.00453,10.1039/c4fd00143e,No Match
bim,Li19.5Sn1.5P4.5S24.0,137,8.722,8.722,12.72,90,90,90,0.0036,10.1039/c4fd00143e,No Match
02p,Li20.0Si2.0P4.0S24.0,137,8.6512,8.6512,12.5095,90,90,90,0.0023,10.1149/2.0501412jes,No Match
9lx,Li20.0Sn2.0P4.0S24.0,137,8.7057,8.7057,12.7389,90,90,90,0.007,10.1021/ja407393y,Match
mtn,Li20.0Ge2.0P4.0S24.0,137,8.71121,8.71121,12.6078,90,90,90,0.0246,10.1021/acs.chemmater.8b00266,Match
9rc,Li20.0Ge1.55Sn0.45P4.0S24.0,137,8.71859,8.71859,12.6514,90,90,90,0.0141,10.1021/acs.chemmater.8b00266,Match
13q,Li20.0Sn2.0P4.0S24.0,137,8.73685,8.73685,12.7573,90,90,90,0.00398,10.1021/acs.chemmater.8b00266,Match
ik8,Li20.0Ge0.83Sn1.17P4.0S24.0,137,8.72902,8.72902,12.7065,90,90,90,0.00743,10.1021/acs.chemmater.8b00266,Match
nip,Li19.62Sn1.62P4.38S24.0,137,8.73764,8.73764,12.7166,90,90,90,0.0055,10.1107/s2052520615022283,Match
1hh,Li20.0Ge2.0P4.0S24.0,137,8.69407,8.69407,12.5994,90,90,90,0.012,10.1038/nmat3066,No Match
8ub,Li21.0Sn0.6Si2.4P3.0S24.0,137,8.69204,8.69204,12.6166,90,90,90,0.00879,10.1021/acs.chemmater.7b00886,Match
7tu,Li20.4Sn0.48Si1.92P3.6S24.0,137,8.65173,8.65173,12.5349,90,90,90,0.00782,10.1021/acs.chemmater.7b00886,Match
ui6,Li20.7Sn0.54Si2.16P3.3S24.0,137,8.67822,8.67822,12.5744,90,90,90,0.011,10.1021/acs.chemmater.7b00886,Match
nkr,Li20.0Ge2.0P4.0S24.0,137,8.694,8.694,12.599,90,90,90,0.00143,10.1016/j.ssi.2017.01.014,No Match
906,Li19.6Ba0.2Ge2.0P4.0S24.0,137,8.716,8.716,12.728,90,90,90,0.000561,10.1016/j.ssi.2017.01.014,No Match
fnu,Li19.2Ba0.4Ge2.0P4.0S24.0,137,8.727,8.727,12.908,90,90,90,0.000572,10.1016/j.ssi.2017.01.014,No Match
pfi,Li18.8Ba0.6Ge2.0P4.0S24.0,137,8.734,8.734,13.005,90,90,90,0.000707,10.1016/j.ssi.2017.01.014,No Match
f0h,Li18.4Ba0.8Ge2.0P4.0S24.0,137,8.752,8.752,13.011,90,90,90,0.000316,10.1016/j.ssi.2017.01.014,No Match
7iw,Li18.0Ba1.0Ge2.0P4.0S24.0,137,8.77,8.77,13.053,90,90,90,9.98e-05,10.1016/j.ssi.2017.01.014,No Match
ikh,Li19.2P6.0S24.0,137,8.7144,8.7144,12.4677,90,90,90,0.0012,10.1038/nenergy.2016.30,No Match
hd3,Li14.0Ge2.0P2.0S16.0,137,8.718,8.718,12.66,90,90,90,0.007,10.1039/c3ee41728j,No Match
ete,Li19.08Si3.48P2.88S23.4Cl0.6,137,8.70965,8.70965,12.5691,90,90,90,0.025,10.1038/nenergy.2016.30,No Match
k4x,Li20.7Si2.7P3.3S24.0,137,8.68385,8.68385,12.5559,90,90,90,0.0065,10.1107/s2052520615022283,Match
ia5,Li2.0La2.0Nb4.0O14.0,139,3.8798,3.8798,20.3597,90,90,90,1e-15,10.1016/0925-8388(93)90192-p,Match
xq3,Li4.0Sr3.0Nb5.77Fe0.23O19.77,139,3.9585,3.9585,25.915,90,90,90,1e-15,10.1021/cm980736j,Match
wgw,Li4.0Sr3.0Nb6.0O20.0,139,3.953,3.953,26.041,90,90,90,1e-15,10.1021/cm980736j,Match
sg0,Li4.0Sc4.0O8.0,141,4.1791,4.1791,9.361,90,90,90,1e-15,10.2320/matertrans.y-m2016816,Match
97b,Li3.6Sc3.6Zr0.4O8.0,141,4.1804,4.1804,9.4186,90,90,90,1e-15,10.2320/matertrans.y-m2016816,Match
ipo,Li56.0La24.0Hf16.0O96.0,142,13.106,13.106,12.63,90,90,90,9.85e-07,10.1016/j.jssc.2009.10.030,Match
wyu,Li56.0La24.0Zr16.0O96.0,142,13.134,13.134,12.663,90,90,90,1.63e-06,10.1016/j.jssc.2009.05.020,Match
bnu,Li18.0Ga9.0Al9.0Ge18.0O72.0,146,13.867,13.867,9.256,90,90,120,1e-15,10.1149/2.1111610jes,Match
kxw,Li18.0Al18.0Ge18.0O72.0,146,13.772,13.772,9.195,90,90,120,1e-15,10.1149/2.1111610jes,Match
um1,Li18.0Ga18.0Ge18.0O72.0,167,13.941,13.941,9.302,90,90,120,1e-15,10.1149/2.1111610jes,Match
019,Li6.0Ti12.0P18.0O72.0,168,8.5112,8.5112,20.8479,90,90,120,0.000161,10.1021/ic400577v,Match
yqu,Li7.2Ti10.8Al1.2P18.0O72.0,148,8.502,8.502,20.818,90,90,120,0.00482,10.1021/ic400577v,Match
95j,Li18.0Al6.0H36.0,148,8.07117,8.07117,9.513,90,90,120,1.4e-07,10.1063/1.3356981,Match
l2w,Li3.33Mg0.33P2.0S6.0,162,6.0748,6.0748,6.5954,90,90,120,8.2e-08,10.1016/s0167-2738(02)00007-3,Match
ob9,Li2.67Mg0.67P2.0S6.0,162,6.0831,6.0831,6.5863,90,90,120,4e-06,10.1016/s0167-2738(02)00007-3,Match
0iv,Li4.0P2.0S6.0,162,6.075,6.075,6.595,90,90,120,2.38e-07,10.1016/j.ssi.2015.10.015,Close Match
2ro,Li4.0P2.0S6.0,162,6.0773,6.0773,6.5985,90,90,120,1.6e-10,10.1021/acs.chemmater.6b04175,No Match
ei3,Li9.0Y3.0Cl18.0,164,11.2217,11.2217,6.05517,90,90,120,0.000539,10.1002/adma.201803075,Close Match
deu,Li8.8Al0.8Ge1.2S8.0,164,7.9496,7.9496,6.1566,90,90,120,4.3e-05,10.1021/acs.chemmater.8b03175,Match
usu,Li8.8Al0.8Sn1.2S8.0,164,8.0184,8.0184,6.2856,90,90,120,4.3e-06,10.1021/acs.chemmater.8b03175,Match
ur9,Li6.0Zr12.0P18.0O72.0,167,8.847,8.847,22.24,90,90,120,1e-09,10.1016/0025-5408(86)90194-7,Match
0o6,Li7.2Ti10.8Sc1.2P18.0O72.0,167,8.527,8.527,20.924,90,90,120,9.98e-05,10.1021/acs.inorgchem.6b02274,Match
a3l,Li6.0Hf12.0P18.0O72.0,167,8.824,8.824,22.04,90,90,120,2.83e-07,10.1002/chin.199345017,No Match
4ba,Li6.0Ge12.0P18.0O72.0,167,8.287,8.287,20.475,90,90,120,3.33e-07,10.1002/chin.199345017,Close Match
qea,Li6.0Ti12.0P18.0O72.0,167,8.512,8.512,20.858,90,90,120,2e-06,10.1149/1.2086597,No Match
ldx,Li6.0Ge12.0P18.0O72.0,167,8.27059,8.27059,20.4652,90,90,120,4.83e-09,10.1021/acsami.8b00842,Match
0fh,Li7.2Al1.2Ge10.8P18.0O72.0,167,8.2619,8.2619,20.5656,90,90,120,4.83e-05,10.1021/acsami.8b00842,Match
gw2,Li8.4Al2.4Ge9.6P18.0O72.0,167,8.25565,8.25565,20.6319,90,90,120,0.000188,10.1021/acsami.8b00842,Match
1xf,Li9.0Al3.0Ge9.0P18.0O72.0,167,8.25658,8.25658,20.6523,90,90,120,0.000336,10.1021/acsami.8b00842,Match
tjh,Li10.2Al4.2Ge7.8P18.0O72.0,167,8.25247,8.25247,20.6936,90,90,120,0.000264,10.1021/acsami.8b00842,Match
8fn,Li10.8Al4.8Ge7.2P18.0O72.0,167,8.25004,8.25004,20.7062,90,90,120,0.000137,10.1021/acsami.8b00842,Match
mdj,Li7.2Ti12.0Si1.2P16.8O72.0,167,8.518,8.518,20.848,90,90,120,8.6e-05,10.1149/1.2086597,No Match
t1l,Li7.8Ti12.0Si1.8P16.2O72.0,167,8.52,8.52,20.862,90,90,120,0.00032,10.1149/1.2086597,No Match
my9,Li7.2Al1.2Ti10.8P18.0O72.0,167,8.5042,8.5042,20.8252,90,90,120,0.000595,10.1149/1.2086597,Close Match
9s4,Li7.8Al1.8Ti10.2P18.0O72.0,167,8.5004,8.5004,20.8156,90,90,120,0.000722,10.1149/1.2086597,Close Match
iqt,Li8.4Al2.4Ti9.6P18.0O72.0,167,8.4955,8.4955,20.7992,90,90,120,0.000388,10.1149/1.2086597,Close Match
xa0,Li9.0Al3.0Ti9.0P18.0O72.0,167,8.4935,8.4935,20.7994,90,90,120,0.000248,10.1149/1.2086597,Close Match
f4x,Li7.2Cr1.2Ti10.8P18.0O72.0,167,8.5189,8.5189,20.8643,90,90,120,1.82e-05,10.1149/1.2086597,No Match
txm,Li7.8Cr1.8Ti10.2P18.0O72.0,167,8.5203,8.5203,20.8702,90,90,120,3.51e-05,10.1149/1.2086597,No Match
v1t,Li8.4Cr2.4Ti9.6P18.0O72.0,167,8.522,8.522,20.88,90,90,120,0.000149,10.1149/1.2086597,No Match
d6b,Li9.0Cr3.0Ti9.0P18.0O72.0,167,8.5218,8.5218,20.8829,90,90,120,0.000386,10.1149/1.2086597,No Match
x9a,Li7.2Ga1.2Ti10.8P18.0O72.0,167,8.5156,8.5156,20.8451,90,90,120,0.000162,10.1149/1.2086597,No Match
3ta,Li7.8Ga1.8Ti10.2P18.0O72.0,167,8.5175,8.5175,20.8541,90,90,120,0.000261,10.1149/1.2086597,No Match
gjy,Li8.4Ga2.4Ti9.6P18.0O72.0,167,8.5136,8.5136,20.8588,90,90,120,0.000128,10.1149/1.2086597,No Match
lz8,Li9.0Ga3.0Ti9.0P18.0O72.0,167,8.5159,8.5159,20.8419,90,90,120,0.000122,10.1149/1.2086597,No Match
6st,Li7.2Fe1.2Ti10.8P18.0O72.0,167,8.5213,8.5213,20.8648,90,90,120,0.00018,10.1149/1.2086597,No Match
t9r,Li7.8Fe1.8Ti10.2P18.0O72.0,167,8.5262,8.5262,20.865,90,90,120,0.000246,10.1149/1.2086597,No Match
xr7,Li8.4Fe2.4Ti9.6P18.0O72.0,167,8.5301,8.5301,20.8889,90,90,120,0.000392,10.1149/1.2086597,No Match
pg8,Li9.0Fe3.0Ti9.0P18.0O72.0,167,8.5367,8.5367,20.8932,90,90,120,0.000174,10.1149/1.2086597,Close Match
1wm,Li7.2Sc1.2Ti10.8P18.0O72.0,167,8.5482,8.5482,20.9418,90,90,120,0.00069,10.1149/1.2086597,No Match
do2,Li7.8Sc1.8Ti10.2P18.0O72.0,167,8.5645,8.5645,20.985,90,90,120,0.000703,10.1149/1.2086597,No Match
uaj,Li8.4Sc2.4Ti9.6P18.0O72.0,167,8.5651,8.5651,20.9948,90,90,120,0.000515,10.1149/1.2086597,No Match
5u3,Li7.2In1.2Ti10.8P18.0O72.0,167,8.544,8.544,20.948,90,90,120,0.00039,10.1149/1.2086597,No Match
2eq,Li7.8In1.8Ti10.2P18.0O72.0,167,8.5495,8.5495,20.9586,90,90,120,0.000393,10.1149/1.2086597,No Match
yn6,Li8.4In2.4Ti9.6P18.0O72.0,167,8.5626,8.5626,21.0066,90,90,120,0.000302,10.1149/1.2086597,No Match
8jy,Li9.0In3.0Ti9.0P18.0O72.0,167,8.5695,8.5695,21.0089,90,90,120,0.000204,10.1149/1.2086597,No Match
p4l,Li7.2La1.2Ti10.8P18.0O72.0,167,8.5117,8.5117,20.8537,90,90,120,8e-05,10.1149/1.2086597,No Match
qkr,Li7.8La1.8Ti10.2P18.0O72.0,167,8.5119,8.5119,20.8513,90,90,120,0.000523,10.1149/1.2086597,No Match
e0z,Li8.4La2.4Ti9.6P18.0O72.0,167,8.5108,8.5108,20.8492,90,90,120,0.000498,10.1149/1.2086597,No Match
vus,Li9.0La3.0Ti9.0P18.0O72.0,167,8.5218,8.5218,20.8621,90,90,120,0.000281,10.1149/1.2086597,No Match
h7r,Li6.0Ti8.4Sn3.6P18.0O72.0,167,8.5491,8.5491,21.0473,90,90,120,2.28e-05,10.1016/j.physb.2011.11.006,Match
9ky,Li6.0Ti3.6Sn8.4P18.0O72.0,167,8.5983,8.5983,21.2868,90,90,120,9.42e-06,10.1016/j.physb.2011.11.006,Match
4ea,Li6.0Ti2.4Sn9.6P18.0O72.0,167,8.6121,8.6121,21.3574,90,90,120,3.15e-06,10.1016/j.physb.2011.11.006,Match
z7n,Li5.16Hf12.21P18.0O72.0,167,8.8306,8.8306,22.027,90,90,120,9.2e-08,10.1021/cm970078n,Match
7kf,Li10.2Al1.8Ti9.6P18.0O72.0,167,8.46,8.46,20.69,90,90,120,0.00122,10.1016/s0167-2738(00)00493-8,No Match
i8k,Li7.2In1.2Ti10.8P18.0O72.0,167,8.55,8.55,20.96,90,90,120,8.22e-05,10.1021/cm030422i,No Match
hzf,Li7.8Al1.2Sc0.6Ti10.2P18.0O72.0,167,8.5169,8.5169,20.916,90,90,120,0.000972,10.1016/j.ssi.2012.03.045,No Match
x61,Li7.8Al0.9Sc0.9Ti10.2P18.0O72.0,167,8.5244,8.5244,20.9553,90,90,120,0.00124,10.1016/j.ssi.2012.03.045,No Match
czo,Li7.8Al0.6Sc1.2Ti10.2P18.0O72.0,167,8.5322,8.5322,21.0039,90,90,120,0.000429,10.1016/j.ssi.2012.03.045,No Match
o8s,Li7.8Sc1.8Ti10.2P18.0O72.0,167,8.5529,8.5529,21.058,90,90,120,0.000452,10.1016/j.ssi.2012.03.045,No Match
lap,Li7.8Al1.8Ti10.2P18.0O72.0,167,8.5012,8.5012,20.8416,90,90,120,0.00113,10.1016/j.ssi.2012.03.045,Close Match
yp3,Li6.0Ti12.0P18.0O72.0,167,8.5087,8.5087,20.9089,90,90,120,6e-05,10.1016/j.ssi.2014.07.018,No Match
tzl,Li6.3Al0.3Ti11.7P18.0O72.0,167,8.5066,8.5066,20.9085,90,90,120,0.0011,10.1016/j.ssi.2014.07.018,No Match
hyj,Li6.6Al0.6Ti11.4P18.0O72.0,167,8.5068,8.5068,20.8905,90,90,120,0.00067,10.1016/j.ssi.2014.07.018,No Match
mg4,Li7.8Al1.8Ti10.2P18.0O72.0,167,8.4941,8.4941,20.8586,90,90,120,0.0062,10.1016/j.ssi.2014.07.018,Close Match
50s,Li8.4Al2.4Ti9.6P18.0O72.0,167,8.4882,8.4882,20.8571,90,90,120,0.0033,10.1016/j.ssi.2014.07.018,No Match
d4q,Li6.3Cr0.3Ti11.7P18.0O72.0,167,8.5093,8.5093,20.915,90,90,120,0.00018,10.1016/j.ssi.2014.07.018,No Match
6he,Li6.6Cr0.6Ti11.4P18.0O72.0,167,8.5126,8.5126,20.9212,90,90,120,0.00026,10.1016/j.ssi.2014.07.018,No Match
pwy,Li7.2Cr1.2Ti10.8P18.0O72.0,167,8.5132,8.5132,20.9271,90,90,120,0.00043,10.1016/j.ssi.2014.07.018,No Match
y9l,Li7.8Cr1.8Ti10.2P18.0O72.0,167,8.5183,8.5183,20.9177,90,90,120,0.00029,10.1016/j.ssi.2014.07.018,No Match
rc1,Li6.3Fe0.3Ti11.7P18.0O72.0,167,8.5125,8.5125,20.8871,90,90,120,0.00013,10.1016/j.ssi.2014.07.018,No Match
lzt,Li6.6Fe0.6Ti11.4P18.0O72.0,167,8.5137,8.5137,20.8822,90,90,120,0.00063,10.1016/j.ssi.2014.07.018,No Match
kbp,Li7.2Fe1.2Ti10.8P18.0O72.0,167,8.5213,8.5213,20.9211,90,90,120,0.0014,10.1016/j.ssi.2014.07.018,No Match
b9u,Li7.8Fe1.8Ti10.2P18.0O72.0,167,8.5239,8.5239,20.9215,90,90,120,0.0023,10.1016/j.ssi.2014.07.018,No Match
3uq,Li7.8Al1.8Ge10.2P18.0O72.0,167,8.26189,8.26189,20.5646,90,90,120,8.24e-05,10.1021/acsami.8b00842,Match
1dm,Li9.6Al3.6Ge8.4P18.0O72.0,167,8.2526,8.2526,20.6831,90,90,120,0.000284,10.1021/acsami.8b00842,Match
rg6,Li8.4Al2.4Ti9.6P18.0O72.0,167,8.4975,8.4975,20.7921,90,90,120,0.00338,10.1016/j.jeurceramsoc.2014.11.023,No Match
ed4,Li7.2Al1.2Ge10.8P18.0O72.0,167,8.283,8.283,20.471,90,90,120,7.94e-05,10.1016/j.jeurceramsoc.2014.11.023,No Match
vg0,Li9.0Al3.0Ge9.0P18.0O72.0,167,8.2828,8.2828,20.5014,90,90,120,0.00019,10.1016/j.jeurceramsoc.2014.11.023,Close Match
z9y,Li7.2Al1.2Ti10.8P18.0O72.0,167,8.502,8.502,20.818,90,90,120,0.00338,10.1016/j.jeurceramsoc.2014.11.023,Close Match
w3n,Li8.4Al2.4Ti9.6P18.0O72.0,167,8.503,8.503,20.847,90,90,120,0.00112,10.1016/j.materresbull.2007.08.007,No Match
ym6,Li7.8Al1.8Ti10.2P18.0O72.0,167,8.5033,8.5033,20.8312,90,90,120,0.00121,10.1016/j.ssi.2014.07.018|10.1016/j.ssi.2016.07.010,Close Match
